slice,bin_left,bin_right,count
fold_3,0.010000000000000092,0.015000000000000097,41
fold_3,0.015000000000000097,0.0200000000000001,95
fold_3,0.0200000000000001,0.025000000000000105,74
fold_3,0.025000000000000105,0.03000000000000011,35
fold_3,0.03000000000000011,0.035000000000000114,85
fold_3,0.035000000000000114,0.04000000000000012,54
fold_3,0.04000000000000012,0.04500000000000012,65
fold_3,0.04500000000000012,0.05000000000000013,10
fold_3,0.05000000000000013,0.05500000000000013,10
fold_3,0.05500000000000013,0.06000000000000014,2
fold_3,0.06000000000000014,0.06500000000000014,5
fold_3,0.06500000000000014,0.07000000000000015,7
fold_3,0.07000000000000015,0.07500000000000015,4
fold_3,0.07500000000000015,0.08000000000000015,2
fold_3,0.08000000000000015,0.08500000000000016,4
fold_3,0.08500000000000016,0.09000000000000016,9
fold_3,0.09000000000000016,0.09500000000000017,2
fold_3,0.09500000000000017,0.10000000000000017,0
locked_test,-0.1,-0.095,12
locked_test,-0.095,-0.09,4
locked_test,-0.09,-0.08499999999999999,0
locked_test,-0.08499999999999999,-0.07999999999999999,0
locked_test,-0.07999999999999999,-0.07499999999999998,1
locked_test,-0.07499999999999998,-0.06999999999999998,15
locked_test,-0.06999999999999998,-0.06499999999999997,6
locked_test,-0.06499999999999997,-0.05999999999999997,6
locked_test,-0.05999999999999997,-0.054999999999999966,11
locked_test,-0.054999999999999966,-0.04999999999999996,6
locked_test,-0.04999999999999996,-0.04499999999999996,7
locked_test,-0.04499999999999996,-0.03999999999999995,26
locked_test,-0.03999999999999995,-0.03499999999999995,13
locked_test,-0.03499999999999995,-0.029999999999999943,14
locked_test,-0.029999999999999943,-0.02499999999999994,37
locked_test,-0.02499999999999994,-0.019999999999999934,47
locked_test,-0.019999999999999934,-0.01499999999999993,59
locked_test,-0.01499999999999993,-0.009999999999999926,30
locked_test,-0.009999999999999926,-0.004999999999999921,67
locked_test,-0.004999999999999921,8.326672684688674e-17,100
locked_test,8.326672684688674e-17,0.005000000000000088,134
locked_test,0.005000000000000088,0.010000000000000092,72
locked_test,0.010000000000000092,0.015000000000000097,75
locked_test,0.015000000000000097,0.0200000000000001,60
locked_test,0.0200000000000001,0.025000000000000105,105
locked_test,0.025000000000000105,0.03000000000000011,58
locked_test,0.03000000000000011,0.035000000000000114,91
locked_test,0.035000000000000114,0.04000000000000012,82
locked_test,0.04000000000000012,0.04500000000000012,96
locked_test,0.04500000000000012,0.05000000000000013,24
locked_test,0.05000000000000013,0.05500000000000013,34
locked_test,0.05500000000000013,0.06000000000000014,27
locked_test,0.06000000000000014,0.06500000000000014,41
locked_test,0.06500000000000014,0.07000000000000015,38
locked_test,0.07000000000000015,0.07500000000000015,20
locked_test,0.07500000000000015,0.08000000000000015,83
locked_test,0.08000000000000015,0.08500000000000016,20
locked_test,0.08500000000000016,0.09000000000000016,25
locked_test,0.09000000000000016,0.09500000000000017,30
locked_test,0.09500000000000017,0.10000000000000017,8
